order_id,item_name,quantity,price_per_item
ORD00001,Pizza,3,346.0
ORD00001,Biryani,1,319.66
ORD00002,Biryani,3,449.78
ORD00002,Noodles,3,376.83
ORD00003,Pizza,1,234.14
ORD00003,Salad,1,298.5
ORD00004,Pasta,3,399.68
ORD00004,Burger,2,180.26
ORD00005,Pizza,3,485.97
ORD00005,Dosa,3,149.2
ORD00006,Noodles,3,85.32
ORD00006,Salad,3,91.96
ORD00007,Burger,1,390.03
ORD00007,Pasta,3,282.05
ORD00008,Dosa,2,99.89
ORD00008,Taco,1,436.04
ORD00009,Dosa,2,434.7
ORD00009,Pizza,2,335.07
ORD00010,Burger,2,190.42
ORD00010,Biryani,2,476.95
ORD00011,Burger,1,203.81
ORD00011,Pizza,1,88.67
ORD00012,Pasta,2,366.74
ORD00012,Burger,2,120.46
ORD00013,Pasta,1,336.28
ORD00013,Salad,1,250.22
ORD00014,Pasta,1,314.26
ORD00014,Biryani,3,51.0
ORD00015,Dosa,3,190.32
ORD00015,Pizza,3,67.35
ORD00016,Pasta,2,212.52
ORD00016,Biryani,3,50.61
ORD00017,Biryani,2,385.18
ORD00017,Salad,2,406.57
ORD00018,Biryani,3,413.0
ORD00018,Burger,2,456.23
ORD00019,Burger,3,253.96
ORD00019,Salad,3,183.16
ORD00020,Salad,1,417.89
ORD00020,Salad,3,256.45
ORD00021,Noodles,1,145.71
ORD00021,Biryani,3,59.8
ORD00022,Pasta,3,97.05
ORD00022,Taco,1,414.2
ORD00023,Dosa,1,209.16
ORD00023,Taco,3,459.69
ORD00024,Noodles,2,172.29
ORD00024,Salad,1,263.21
ORD00025,Noodles,2,475.86
ORD00025,Taco,2,118.61
ORD00026,Salad,2,197.66
ORD00026,Pizza,1,489.52
ORD00027,Noodles,2,319.84
ORD00027,Salad,1,405.75
ORD00028,Burger,2,254.75
ORD00028,Dosa,3,170.48
ORD00029,Pasta,3,150.12
ORD00029,Pasta,1,436.03
ORD00030,Biryani,3,471.81
ORD00030,Salad,3,169.49
ORD00031,Pizza,2,328.21
ORD00031,Taco,1,311.28
ORD00032,Dosa,2,464.5
ORD00032,Pasta,2,286.37
ORD00033,Pizza,2,51.67
ORD00033,Pasta,2,474.16
ORD00034,Noodles,2,161.12
ORD00034,Noodles,2,97.94
ORD00035,Taco,2,152.94
ORD00035,Pasta,1,386.51
ORD00036,Taco,3,499.5
ORD00036,Pasta,2,180.02
ORD00037,Noodles,2,133.62
ORD00037,Dosa,2,333.53
ORD00038,Noodles,2,483.56
ORD00038,Burger,2,81.86
ORD00039,Noodles,2,425.06
ORD00039,Salad,3,57.61
ORD00040,Pizza,3,125.52
ORD00040,Biryani,2,391.58
ORD00041,Biryani,3,252.91
ORD00041,Pizza,1,155.18
ORD00042,Pizza,2,79.42
ORD00042,Burger,1,340.66
ORD00043,Taco,1,70.46
ORD00043,Pizza,2,270.01
ORD00044,Pasta,3,476.58
ORD00044,Salad,1,158.65
ORD00045,Pizza,2,358.45
ORD00045,Pasta,1,66.29
ORD00046,Pizza,1,62.04
ORD00046,Taco,1,290.22
ORD00047,Dosa,1,232.72
ORD00047,Taco,3,199.53
ORD00048,Dosa,1,233.15
ORD00048,Burger,1,92.58
ORD00049,Taco,1,194.95
ORD00049,Pizza,3,228.27
ORD00050,Burger,1,224.82
ORD00050,Biryani,1,179.88
ORD00051,Taco,3,77.64
ORD00051,Taco,3,248.37
ORD00052,Noodles,3,477.76
ORD00052,Pizza,1,230.0
ORD00053,Dosa,3,319.75
ORD00053,Salad,3,444.57
ORD00054,Dosa,1,220.36
ORD00054,Biryani,3,336.01
ORD00055,Salad,1,312.75
ORD00055,Noodles,2,283.47
ORD00056,Noodles,3,172.23
ORD00056,Pizza,2,163.55
ORD00057,Biryani,1,81.2
ORD00057,Dosa,3,55.45
ORD00058,Burger,1,342.33
ORD00058,Pasta,2,232.38
ORD00059,Dosa,1,97.94
ORD00059,Pasta,3,494.7
ORD00060,Salad,3,464.61
ORD00060,Biryani,2,255.2
ORD00061,Noodles,1,260.84
ORD00061,Noodles,3,389.07
ORD00062,Burger,2,250.03
ORD00062,Burger,3,477.36
ORD00063,Burger,3,394.35
ORD00063,Noodles,1,149.87
ORD00064,Burger,3,266.21
ORD00064,Pizza,1,308.35
ORD00065,Burger,3,189.47
ORD00065,Salad,2,138.77
ORD00066,Pasta,3,140.9
ORD00066,Taco,1,495.6
ORD00067,Dosa,1,66.64
ORD00067,Dosa,2,287.51
ORD00068,Pizza,3,99.79
ORD00068,Taco,3,448.24
ORD00069,Biryani,2,249.06
ORD00069,Pizza,3,308.18
ORD00070,Noodles,3,391.5
ORD00070,Dosa,1,424.47
ORD00071,Biryani,3,496.72
ORD00071,Salad,3,175.11
ORD00072,Dosa,2,60.63
ORD00072,Pizza,2,464.86
ORD00073,Noodles,1,170.62
ORD00073,Pizza,3,182.18
ORD00074,Noodles,3,475.17
ORD00074,Pizza,3,414.57
ORD00075,Taco,1,200.38
ORD00075,Taco,1,316.36
ORD00076,Noodles,2,251.48
ORD00076,Salad,1,152.35
ORD00077,Taco,3,154.98
ORD00077,Pizza,3,347.89
ORD00078,Burger,1,186.37
ORD00078,Taco,3,304.09
ORD00079,Burger,3,233.22
ORD00079,Biryani,1,365.6
ORD00080,Pizza,1,204.1
ORD00080,Pasta,3,473.06
ORD00081,Pasta,3,152.97
ORD00081,Pasta,3,493.54
ORD00082,Pizza,2,266.02
ORD00082,Burger,2,355.87
ORD00083,Biryani,2,418.34
ORD00083,Burger,1,377.1
ORD00084,Pizza,2,212.09
ORD00084,Dosa,1,458.09
ORD00085,Biryani,1,444.4
ORD00085,Pasta,2,390.71
ORD00086,Biryani,2,190.0
ORD00086,Noodles,2,362.63
ORD00087,Salad,3,313.55
ORD00087,Burger,2,131.05
ORD00088,Pasta,3,331.93
ORD00088,Dosa,1,490.98
ORD00089,Biryani,3,146.5
ORD00089,Pizza,2,223.66
ORD00090,Biryani,1,100.25
ORD00090,Pasta,1,382.86
ORD00091,Noodles,1,264.93
ORD00091,Pasta,3,424.16
ORD00092,Noodles,2,155.91
ORD00092,Salad,1,497.5
ORD00093,Pizza,1,147.41
ORD00093,Dosa,1,305.57
ORD00094,Salad,3,186.55
ORD00094,Taco,3,242.41
ORD00095,Salad,2,460.87
ORD00095,Salad,3,172.87
ORD00096,Pizza,1,272.89
ORD00096,Taco,2,375.25
ORD00097,Pasta,1,468.09
ORD00097,Noodles,1,138.23
ORD00098,Taco,3,385.81
ORD00098,Dosa,2,302.07
ORD00099,Noodles,3,207.05
ORD00099,Dosa,3,286.72
ORD00100,Biryani,2,436.02
ORD00100,Taco,1,486.39
ORD00101,Taco,1,159.62
ORD00101,Salad,2,329.78
ORD00102,Burger,1,439.59
ORD00102,Biryani,2,346.48
ORD00103,Burger,2,224.61
ORD00103,Noodles,3,253.96
ORD00104,Dosa,2,91.62
ORD00104,Salad,3,365.58
ORD00105,Pasta,1,495.96
ORD00105,Salad,1,481.53
ORD00106,Burger,1,173.07
ORD00106,Biryani,1,140.34
ORD00107,Noodles,3,105.97
ORD00107,Pasta,1,394.3
ORD00108,Burger,2,462.83
ORD00108,Biryani,2,225.73
ORD00109,Dosa,2,471.75
ORD00109,Biryani,3,243.69
ORD00110,Burger,1,214.38
ORD00110,Biryani,1,301.65
ORD00111,Biryani,1,95.57
ORD00111,Pasta,3,442.72
ORD00112,Taco,2,421.14
ORD00112,Biryani,2,258.13
ORD00113,Pizza,1,106.38
ORD00113,Biryani,2,446.38
ORD00114,Biryani,2,104.65
ORD00114,Pizza,3,111.31
ORD00115,Pizza,3,61.02
ORD00115,Noodles,3,363.87
ORD00116,Salad,3,314.35
ORD00116,Pizza,1,325.56
ORD00117,Noodles,3,470.51
ORD00117,Pasta,2,216.95
ORD00118,Pizza,1,168.34
ORD00118,Dosa,2,186.02
ORD00119,Pizza,2,143.88
ORD00119,Taco,2,316.64
ORD00120,Dosa,3,362.28
ORD00120,Dosa,3,251.54
ORD00121,Salad,1,95.73
ORD00121,Pizza,1,183.19
ORD00122,Noodles,3,489.73
ORD00122,Noodles,2,340.65
ORD00123,Burger,1,212.28
ORD00123,Burger,3,52.21
ORD00124,Dosa,3,443.27
ORD00124,Pasta,3,319.68
ORD00125,Noodles,2,156.8
ORD00125,Taco,3,347.64
ORD00126,Biryani,3,263.95
ORD00126,Pasta,3,427.97
ORD00127,Biryani,3,94.58
ORD00127,Dosa,1,293.45
ORD00128,Burger,1,227.8
ORD00128,Pizza,3,479.19
ORD00129,Noodles,2,312.44
ORD00129,Burger,1,117.91
ORD00130,Biryani,3,194.97
ORD00130,Pizza,1,321.95
ORD00131,Noodles,1,433.51
ORD00131,Biryani,2,74.64
ORD00132,Burger,3,60.73
ORD00132,Salad,3,465.76
ORD00133,Pasta,2,225.24
ORD00133,Taco,2,74.12
ORD00134,Biryani,3,71.56
ORD00134,Pasta,3,86.09
ORD00135,Pasta,2,481.29
ORD00135,Taco,1,418.56
ORD00136,Salad,1,350.25
ORD00136,Dosa,2,387.43
ORD00137,Burger,1,87.42
ORD00137,Pasta,2,197.02
ORD00138,Noodles,1,83.21
ORD00138,Salad,1,81.69
ORD00139,Pasta,3,313.44
ORD00139,Pasta,3,136.64
ORD00140,Pasta,1,166.07
ORD00140,Dosa,1,163.57
ORD00141,Pizza,3,397.09
ORD00141,Pizza,3,330.57
ORD00142,Dosa,3,281.42
ORD00142,Noodles,2,112.69
ORD00143,Dosa,1,89.47
ORD00143,Pasta,3,153.94
ORD00144,Pasta,1,71.1
ORD00144,Burger,2,382.94
ORD00145,Salad,2,280.4
ORD00145,Taco,3,344.82
ORD00146,Taco,2,136.95
ORD00146,Biryani,1,434.16
