order_id,order_date,customer_id,restaurant_id,order_amount,discount_amount
ORD00001,2023-07-25,CUST0181,REST038,1456.53,140.65
ORD00002,2023-01-10,CUST0214,REST006,1194.02,143.76
ORD00003,2022-04-03,CUST0148,REST024,222.03,23.22
ORD00004,2023-02-09,CUST0332,REST004,231.76,56.7
ORD00005,2022-01-15,CUST0301,REST041,539.21,136.64
ORD00006,2022-09-28,CUST0100,REST047,1407.68,361.77
ORD00007,2023-07-04,CUST0013,REST024,326.06,32.65
ORD00008,2022-05-07,CUST0086,REST016,492.16,91.01
ORD00009,2023-04-11,CUST0146,REST019,608.66,135.1
ORD00010,2023-01-13,CUST0041,REST041,224.92,56.43
ORD00011,2023-11-20,CUST0422,REST045,350.86,23.95
ORD00012,2023-11-20,CUST0155,REST030,1180.72,293.53
ORD00013,2022-09-26,CUST0199,REST039,461.12,14.01
ORD00014,2023-08-22,CUST0245,REST018,762.57,165.16
ORD00015,2023-01-26,CUST0331,REST036,458.44,87.95
ORD00016,2023-10-16,CUST0046,REST002,1327.32,124.61
ORD00017,2023-01-16,CUST0273,REST041,1010.41,150.71
ORD00018,2022-04-21,CUST0093,REST012,296.63,16.57
ORD00019,2023-11-23,CUST0443,REST043,273.55,31.41
ORD00020,2022-08-28,CUST0185,REST008,896.23,71.16
ORD00021,2023-04-28,CUST0223,REST012,155.43,32.99
ORD00022,2022-01-26,CUST0132,REST007,1302.6,137.01
ORD00023,2023-09-27,CUST0233,REST007,661.31,159.88
ORD00024,2023-07-29,CUST0114,REST004,1299.8,349.3
ORD00025,2022-12-02,CUST0135,REST035,1384.0,313.38
ORD00026,2023-09-17,CUST0031,REST040,280.58,80.75
ORD00027,2022-08-15,CUST0377,REST004,613.43,59.4
ORD00028,2023-10-26,CUST0334,REST039,1282.77,42.9
ORD00029,2022-03-06,CUST0043,REST038,1432.86,250.11
ORD00030,2023-10-13,CUST0172,REST003,623.16,169.9
ORD00031,2023-04-21,CUST0271,REST006,1055.08,221.64
ORD00032,2023-12-19,CUST0486,REST040,808.32,135.92
ORD00033,2022-11-06,CUST0295,REST026,467.96,106.24
ORD00034,2023-10-27,CUST0277,REST003,1325.75,214.08
ORD00035,2023-02-23,CUST0421,REST006,1055.58,126.03
ORD00036,2022-04-30,CUST0410,REST013,968.86,202.19
ORD00037,2022-05-24,CUST0210,REST004,1001.41,59.67
ORD00038,2022-02-16,CUST0268,REST034,1137.46,30.9
ORD00039,2022-02-08,CUST0434,REST038,442.74,79.42
ORD00040,2022-11-08,CUST0238,REST040,1249.73,328.78
ORD00041,2023-05-20,CUST0441,REST047,111.12,13.49
ORD00042,2022-04-29,CUST0239,REST011,1294.28,102.26
ORD00043,2022-04-10,CUST0040,REST046,506.92,108.87
ORD00044,2022-08-29,CUST0452,REST010,321.49,51.39
ORD00045,2023-07-05,CUST0358,REST018,658.99,78.44
ORD00046,2022-05-19,CUST0252,REST005,202.17,55.88
ORD00047,2023-02-02,CUST0451,REST043,643.51,20.01
ORD00048,2023-04-10,CUST0401,REST048,747.19,214.31
ORD00049,2023-01-15,CUST0339,REST048,230.9,56.43
ORD00050,2023-11-18,CUST0311,REST018,752.23,200.27
ORD00051,2023-12-15,CUST0061,REST009,999.48,88.13
ORD00052,2023-07-08,CUST0379,REST026,1360.18,232.63
ORD00053,2023-03-06,CUST0087,REST037,750.79,18.52
ORD00054,2023-08-25,CUST0493,REST013,220.15,66.01
ORD00055,2022-06-08,CUST0487,REST029,1124.49,149.29
ORD00056,2023-03-01,CUST0405,REST005,1384.44,16.93
ORD00057,2023-11-02,CUST0064,REST029,1391.49,228.76
ORD00058,2022-04-12,CUST0212,REST001,1175.5,235.4
ORD00059,2023-05-17,CUST0495,REST011,379.26,31.15
ORD00060,2023-09-23,CUST0218,REST010,560.21,83.11
ORD00061,2023-02-22,CUST0499,REST015,544.2,136.04
ORD00062,2022-10-14,CUST0314,REST046,1495.01,441.0
ORD00063,2022-02-03,CUST0418,REST027,780.81,57.47
ORD00064,2023-12-08,CUST0129,REST049,1083.21,73.39
ORD00065,2023-01-15,CUST0456,REST005,766.71,149.02
ORD00066,2022-08-11,CUST0458,REST011,489.73,31.73
ORD00067,2023-03-31,CUST0034,REST026,153.6,0.57
ORD00068,2023-04-01,CUST0195,REST036,318.04,23.25
ORD00069,2022-08-30,CUST0199,REST019,757.95,4.72
ORD00070,2023-01-07,CUST0164,REST030,996.3,182.99
ORD00071,2022-04-12,CUST0139,REST022,548.26,137.82
ORD00072,2023-12-04,CUST0230,REST048,143.85,17.89
ORD00073,2023-01-12,CUST0437,REST010,941.51,155.7
ORD00074,2023-07-12,CUST0394,REST018,632.4,107.78
ORD00075,2023-10-23,CUST0312,REST019,1411.04,174.54
ORD00076,2023-01-03,CUST0262,REST011,606.09,154.17
ORD00077,2022-03-04,CUST0210,REST012,702.15,122.36
ORD00078,2023-02-12,CUST0208,REST006,762.77,143.54
ORD00079,2022-10-10,CUST0075,REST050,175.71,46.84
ORD00080,2022-07-14,CUST0294,REST007,1315.23,386.33
ORD00081,2022-05-06,CUST0380,REST006,1433.7,321.2
ORD00082,2023-04-11,CUST0470,REST007,1057.14,224.14
ORD00083,2022-04-04,CUST0463,REST039,477.79,140.74
ORD00084,2023-11-10,CUST0282,REST036,989.96,238.61
ORD00085,2022-08-06,CUST0051,REST028,217.03,17.16
ORD00086,2023-10-20,CUST0144,REST003,196.96,21.88
ORD00087,2023-10-17,CUST0268,REST017,667.1,180.13
ORD00088,2023-09-04,CUST0172,REST006,517.67,145.5
ORD00089,2022-01-22,CUST0206,REST015,1097.09,105.37
ORD00090,2022-02-21,CUST0192,REST031,1319.8,141.38
ORD00091,2022-12-08,CUST0243,REST016,834.69,239.91
ORD00092,2022-09-07,CUST0305,REST049,1037.5,41.86
ORD00093,2022-05-09,CUST0019,REST023,463.23,119.51
ORD00094,2023-08-02,CUST0138,REST028,1262.77,373.62
ORD00095,2022-07-30,CUST0072,REST015,229.42,16.99
ORD00096,2022-03-12,CUST0305,REST043,1362.3,219.99
ORD00097,2023-07-22,CUST0347,REST010,578.83,22.36
ORD00098,2022-08-01,CUST0020,REST004,1154.45,339.76
ORD00099,2023-08-24,CUST0445,REST043,330.35,77.72
ORD00100,2022-08-10,CUST0166,REST024,588.99,89.67
ORD00101,2022-08-27,CUST0119,REST034,686.74,98.01
ORD00102,2022-12-03,CUST0373,REST009,765.7,72.01
ORD00103,2022-06-01,CUST0461,REST050,1064.36,257.76
ORD00104,2023-09-03,CUST0449,REST025,324.96,58.89
ORD00105,2022-01-03,CUST0011,REST006,1075.37,232.31
ORD00106,2022-10-11,CUST0409,REST022,596.57,128.42
ORD00107,2022-05-29,CUST0152,REST033,1070.06,207.05
ORD00108,2022-05-14,CUST0141,REST005,644.79,107.18
ORD00109,2023-07-08,CUST0246,REST008,113.9,33.66
